Id,Expected
img0.jpg,nelson_muntz
img1.jpg,lisa_simpson
img10.jpg,ned_flanders
img100.jpg,chief_wiggum
img101.jpg,apu_nahasapeemapetilon
img102.jpg,kent_brockman
img103.jpg,lisa_simpson
img104.jpg,chief_wiggum
img105.jpg,lisa_simpson
img106.jpg,kent_brockman
img107.jpg,lenny_leonard
img108.jpg,marge_simpson
img109.jpg,kent_brockman
img11.jpg,ned_flanders
img110.jpg,moe_szyslak
img111.jpg,principal_skinner
img112.jpg,charles_montgomery_burns
img113.jpg,ned_flanders
img114.jpg,martin_prince
img115.jpg,abraham_grampa_simpson
img116.jpg,marge_simpson
img117.jpg,nelson_muntz
img118.jpg,comic_book_guy
img119.jpg,mayor_quimby
img12.jpg,homer_simpson
img120.jpg,apu_nahasapeemapetilon
img121.jpg,krusty_the_clown
img122.jpg,chief_wiggum
img123.jpg,ned_flanders
img124.jpg,edna_krabappel
img125.jpg,apu_nahasapeemapetilon
img126.jpg,chief_wiggum
img127.jpg,apu_nahasapeemapetilon
img128.jpg,ned_flanders
img129.jpg,milhouse_van_houten
img13.jpg,homer_simpson
img130.jpg,homer_simpson
img131.jpg,sideshow_bob
img132.jpg,lisa_simpson
img133.jpg,charles_montgomery_burns
img134.jpg,chief_wiggum
img135.jpg,kent_brockman
img136.jpg,abraham_grampa_simpson
img137.jpg,milhouse_van_houten
img138.jpg,homer_simpson
img139.jpg,kent_brockman
img14.jpg,nelson_muntz
img140.jpg,principal_skinner
img141.jpg,krusty_the_clown
img142.jpg,nelson_muntz
img143.jpg,charles_montgomery_burns
img144.jpg,ned_flanders
img145.jpg,apu_nahasapeemapetilon
img146.jpg,mayor_quimby
img147.jpg,lisa_simpson
img148.jpg,edna_krabappel
img149.jpg,sideshow_bob
img15.jpg,charles_montgomery_burns
img150.jpg,cletus_spuckler
img151.jpg,chief_wiggum
img152.jpg,principal_skinner
img153.jpg,charles_montgomery_burns
img154.jpg,milhouse_van_houten
img155.jpg,apu_nahasapeemapetilon
img156.jpg,homer_simpson
img157.jpg,ned_flanders
img158.jpg,comic_book_guy
img159.jpg,kent_brockman
img16.jpg,charles_montgomery_burns
img160.jpg,sideshow_bob
img161.jpg,bart_simpson
img162.jpg,ned_flanders
img163.jpg,comic_book_guy
img164.jpg,charles_montgomery_burns
img165.jpg,edna_krabappel
img166.jpg,lisa_simpson
img167.jpg,kent_brockman
img168.jpg,ned_flanders
img169.jpg,krusty_the_clown
img17.jpg,milhouse_van_houten
img170.jpg,chief_wiggum
img171.jpg,mayor_quimby
img172.jpg,ned_flanders
img173.jpg,krusty_the_clown
img174.jpg,sideshow_bob
img175.jpg,ned_flanders
img176.jpg,chief_wiggum
img177.jpg,nelson_muntz
img178.jpg,sideshow_bob
img179.jpg,krusty_the_clown
img18.jpg,homer_simpson
img180.jpg,krusty_the_clown
img181.jpg,lisa_simpson
